feature_id,feature_name,dataset,gene_symbol,entrez_id
MED1_(5469)_MutDrv,MED1 (5469),MutDrv,MED1,5469.0
NRAS_(4893)_MutDrv,NRAS (4893),MutDrv,NRAS,4893.0
PDE2A_(5138)_MutDrv,PDE2A (5138),MutDrv,PDE2A,5138.0
SAFB_(6294)_MutDrv,SAFB (6294),MutDrv,SAFB,6294.0
SOX10_(6663)_MutDrv,SOX10 (6663),MutDrv,SOX10,6663.0
SWI5_(375757)_MutDrv,SWI5 (375757),MutDrv,SWI5,375757.0
TENC1_(23371)_MutDrv,TENC1 (23371),MutDrv,TENC1,23371.0
UNC93B1_(81622)_MutDrv,UNC93B1 (81622),MutDrv,UNC93B1,81622.0
AMY1A_(276)_RNAseq,AMY1A (276),RNAseq,AMY1A,276.0
ANOS1_(3730)_RNAseq,ANOS1 (3730),RNAseq,ANOS1,3730.0
C1orf74_(148304)_RNAseq,C1orf74 (148304),RNAseq,C1orf74,148304.0
CDKL5_(6792)_RNAseq,CDKL5 (6792),RNAseq,CDKL5,6792.0
CEBPB_(1051)_RNAseq,CEBPB (1051),RNAseq,CEBPB,1051.0
DHRS12_(79758)_RNAseq,DHRS12 (79758),RNAseq,DHRS12,79758.0
F8A1_(8263)_RNAseq,F8A1 (8263),RNAseq,F8A1,8263.0
FAM107B_(83641)_RNAseq,FAM107B (83641),RNAseq,FAM107B,83641.0
FOXE3_(2301)_RNAseq,FOXE3 (2301),RNAseq,FOXE3,2301.0
HNF1B_(6928)_RNAseq,HNF1B (6928),RNAseq,HNF1B,6928.0
IARS1_(3376)_RNAseq,IARS1 (3376),RNAseq,IARS1,3376.0
JUN_(3725)_RNAseq,JUN (3725),RNAseq,JUN,3725.0
KDM7A_(80853)_RNAseq,KDM7A (80853),RNAseq,KDM7A,80853.0
MAP4K4_(9448)_RNAseq,MAP4K4 (9448),RNAseq,MAP4K4,9448.0
MED1_(5469)_RNAseq,MED1 (5469),RNAseq,MED1,5469.0
MMRN1_(22915)_RNAseq,MMRN1 (22915),RNAseq,MMRN1,22915.0
MTDH_(92140)_RNAseq,MTDH (92140),RNAseq,MTDH,92140.0
NRAS_(4893)_RNAseq,NRAS (4893),RNAseq,NRAS,4893.0
PMEPA1_(56937)_RNAseq,PMEPA1 (56937),RNAseq,PMEPA1,56937.0
PNPO_(55163)_RNAseq,PNPO (55163),RNAseq,PNPO,55163.0
PSG7_(5676)_RNAseq,PSG7 (5676),RNAseq,PSG7,5676.0
REN_(5972)_RNAseq,REN (5972),RNAseq,REN,5972.0
RSPO2_(340419)_RNAseq,RSPO2 (340419),RNAseq,RSPO2,340419.0
SCML1_(6322)_RNAseq,SCML1 (6322),RNAseq,SCML1,6322.0
SOX10_(6663)_RNAseq,SOX10 (6663),RNAseq,SOX10,6663.0
SWI5_(375757)_RNAseq,SWI5 (375757),RNAseq,SWI5,375757.0
TMEM65_(157378)_RNAseq,TMEM65 (157378),RNAseq,TMEM65,157378.0
TNS2_(23371)_RNAseq,TNS2 (23371),RNAseq,TNS2,23371.0
TRIL_(9865)_RNAseq,TRIL (9865),RNAseq,TRIL,9865.0
UNC93B1_(81622)_RNAseq,UNC93B1 (81622),RNAseq,UNC93B1,81622.0
VAV2_(7410)_RNAseq,VAV2 (7410),RNAseq,VAV2,7410.0
ZBTB6_(10773)_RNAseq,ZBTB6 (10773),RNAseq,ZBTB6,10773.0
NRAS_(N_Ras)_RPPA,NRAS (N-Ras),RPPA,,
2_aminoadipate_metabolomics,2-aminoadipate,metabolomics,,
C18:1_LPC_metabolomics,C18:1 LPC,metabolomics,,
C36:1_DAG_metabolomics,C36:1 DAG,metabolomics,,
C36:2_PC_metabolomics,C36:2 PC,metabolomics,,
C50:2_TAG_metabolomics,C50:2 TAG,metabolomics,,
C56:3_TAG_metabolomics,C56:3 TAG,metabolomics,,
acetylcarnitine_metabolomics,acetylcarnitine,metabolomics,,
acetylcholine_metabolomics,acetylcholine,metabolomics,,
glucuronate_metabolomics,glucuronate,metabolomics,,
serine_metabolomics,serine,metabolomics,,
sucrose_metabolomics,sucrose,metabolomics,,
taurine_metabolomics,taurine,metabolomics,,
